id,name,lat,lon,bikes,empty_docks,docks,query_time,proportion
BikePoints_489,"Christian Street, Whitechapel",51.513074,-0.064094,8,26,34,2022-01-30 07:39:00,0.23529411764705882
BikePoints_591,"Westfield Library Corner, Shepherd's Bush",51.506093,-0.224223,26,0,27,2022-01-30 07:39:00,1.0
BikePoints_437,"Vauxhall Walk, Vauxhall",51.488124,-0.120903,22,3,27,2022-01-30 07:39:00,0.8888888888888888
BikePoints_165,"Orsett Terrace, Bayswater",51.517932,-0.183716,13,2,15,2022-01-30 07:39:00,0.8666666666666667
BikePoints_317,"Dickens Square, Borough",51.496791,-0.093913,32,0,32,2022-01-30 07:39:00,1.0
BikePoints_46,"Nesham Street, Wapping",51.507131,-0.06691,16,0,16,2022-01-30 07:39:00,1.0
BikePoints_559,"Abbotsbury Road, Holland Park",51.501391,-0.205991,14,9,24,2022-01-30 07:39:00,0.625
BikePoints_732,"Duke Street Hill, London Bridge",51.506304,-0.087262,19,2,21,2022-01-30 07:39:00,0.9047619047619048
BikePoints_268,"Belgrave Road, Victoria",51.493204,-0.144132,25,3,29,2022-01-30 07:39:00,0.896551724137931
BikePoints_533,"Wellington Row, Bethnal Green",51.528222,-0.069743,31,0,33,2022-01-30 07:39:00,1.0
BikePoints_626,"Normand Park, West Kensington",51.484386,-0.204815,21,0,24,2022-01-30 07:39:00,1.0
BikePoints_206,"New Road 1 , Whitechapel",51.518154,-0.062697,30,6,36,2022-01-30 07:39:00,0.8333333333333334
BikePoints_132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,5,32,38,2022-01-30 07:39:00,0.15789473684210525
BikePoints_335,"Tavistock Street, Covent Garden",51.511968,-0.120718,26,7,33,2022-01-30 07:39:00,0.7878787878787878
BikePoints_444,"Bethnal Green Garden, Bethnal Green",51.52568,-0.055312,13,11,24,2022-01-30 07:39:00,0.5416666666666666
BikePoints_63,"Murray Grove , Hoxton",51.53089,-0.089782,11,15,27,2022-01-30 07:39:00,0.4444444444444444
BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,15,41,57,2022-01-30 07:39:00,0.2807017543859649
BikePoints_177,"Ashley Place, Victoria",51.49616,-0.140947,20,3,25,2022-01-30 07:39:00,0.88
BikePoints_329,"Prince Albert Road, The Regent's Park",51.535892,-0.160854,8,14,24,2022-01-30 07:39:00,0.4166666666666667
BikePoints_703,"St. Bride Street, Holborn",51.515059,-0.105344,4,20,25,2022-01-30 07:39:00,0.2
BikePoints_495,"Bow Church Station, Bow",51.528169,-0.018703,9,30,39,2022-01-30 07:39:00,0.23076923076923078
BikePoints_325,"St. Martin's Street, West End",51.509087,-0.129697,0,18,18,2022-01-30 07:39:00,0.0
BikePoints_74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,14,3,17,2022-01-30 07:39:00,0.8235294117647058
BikePoints_483,"Albert Gardens, Stepney",51.51328,-0.047784,23,10,33,2022-01-30 07:39:00,0.696969696969697
BikePoints_743,"Oxford Road, Putney",51.460792,-0.212607,3,26,29,2022-01-30 07:39:00,0.10344827586206896
BikePoints_366,"Millennium Hotel, Mayfair",51.510919,-0.151126,9,18,27,2022-01-30 07:39:00,0.3333333333333333
BikePoints_786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717,22,22,44,2022-01-30 07:39:00,0.5
BikePoints_714,"Stewart's Road, Wandsworth Road",51.473116,-0.137235,25,3,28,2022-01-30 07:39:00,0.8928571428571429
